iter	Passed	Remaining
315	2522	5459
316	2525	5441
317	2530	5427
318	2533	5408
319	2536	5390
320	2539	5371
321	2543	5355
322	2548	5340
323	2551	5322
324	2554	5305
325	2559	5290
326	2566	5282
327	2570	5265
328	2574	5251
329	2579	5237
330	2583	5221
331	2586	5204
332	2590	5189
333	2594	5173
334	2598	5157
335	2601	5141
336	2606	5128
337	2610	5111
338	2613	5095
339	2621	5088
340	2625	5074
341	2630	5060
342	2633	5043
343	2638	5032
344	2642	5016
345	2645	5001
346	2649	4985
347	2653	4972
348	2657	4956
349	2660	4940
350	2663	4924
351	2667	4911
352	2671	4897
353	2675	4881
354	2678	4866
355	2682	4852
356	2686	4838
357	2689	4822
358	2692	4807
359	2697	4796
360	2701	4781
361	2704	4766
362	2708	4752
363	2714	4742
364	2718	4730
365	2725	4720
366	2734	4717
367	2738	4703
368	2743	4691
369	2747	4678
370	2752	4666
371	2756	4653
372	2762	4643
373	2766	4631
374	2770	4617
375	2775	4606
376	2779	4593
377	2783	4579
378	2787	4566
379	2793	4558
380	2797	4544
381	2800	4530
382	2809	4525
383	2815	4516
384	2821	4507
385	2827	4497
386	2834	4489
387	2841	4481
388	2846	4470
389	2853	4462
390	2860	4455
391	2869	4450
392	2875	4441
393	2882	4433
394	2887	4423
395	2893	4412
396	2898	4402
397	2903	4391
398	2908	4380
399	2915	4373
400	2922	4365
401	2928	4355
402	2933	4345
403	2937	4334
404	2942	4323
405	2946	4311
406	2951	4300
407	2956	4289
408	2960	4278
409	2966	4268
410	2970	4257
411	2975	4246
